Nome,Latitude,Longitude,Altitude,Informação extra,Lote
A-5 - Saída 380,38.865167,-6.756390,194,,1000
A-5 - Saída 382,38.865653,-6.773903,190,,1000
A-5 - Saída 395,38.889609,-6.915135,171,,1000
A-5 - Saída 400,38.920355,-6.964647,175,,1000
A-5 - Saída 403,38.908453,-6.995358,214,,1000
A-5 - Saída 407,38.885430,-7.025763,172,,1000
A-5R - Alcorcón Norte,40.361248,-3.808394,698,,1400
A-6 - Palacio de la Moncloa,40.444779,-3.732705,627,,2000
A-6 - Parque Deportivo,40.458781,-3.748406,591,,2000
A-6 - Saída 5,40.448263,-3.735771,618,,2000
A-6 - Saída 8,40.460462,-3.757270,615,,2000
A-6 - Saída 9,40.462102,-3.770358,649,,2000
A-6 - Saída 10A,40.462808,-3.776628,655,,2000
A-6 - Saída 10B,40.463616,-3.783804,659,,2000
A-6 - Saída 12,40.466881,-3.810952,675,,2000
A-6 - Saída 13,40.469992,-3.818086,675,,2000
A-6 - Saída 15,40.477805,-3.843332,688,,2000
A-6 - Saída 17,40.482223,-3.855613,718,,2000
A-6 - Saída 18,40.487434,-3.864588,734,,2000
A-6 - Saída 19,40.500001,-3.873478,722,,1600
A-6 - Saída 24,40.542270,-3.893070,737,,1600
A-7 - Saída 103,36.113029,-5.455825,25,,900
A-7 - Saída 104,36.124918,-5.461969,38,,900
A-7 - Saída 105,36.131492,-5.464308,21,,900
A-7 - Saída 106,36.135745,-5.460400,36,,900
A-7 - Saída 107A,36.141840,-5.460273,41,,900
A-7 - Saída 107B,36.144032,-5.456139,34,,900
A-7 - Saída 108A,36.147809,-5.454239,34,,900
A-7 - Saída 108B,36.155543,-5.454928,27,,900
A-7 - Saída 108C,36.157291,-5.456848,22,,900
A-7 - Saída 109,36.161628,-5.459574,5,,900
A-7 - Saída 110A,36.165901,-5.457956,3,,900
A-7 - Saída 111,36.179130,-5.447593,4,,900
A-7 - Saída 112,36.182945,-5.441509,4,,900
A-7 - Saída 113A,36.187064,-5.437030,8,,900
A-7 - Saída 113B,36.191347,-5.433198,6,,900
A-7 - Saída 115,36.203496,-5.421385,8,,900
A-7 - Saída 116,36.205608,-5.414364,12,,900
A-7 - Saída 117,36.207552,-5.400542,10,,900
A-7 - Saída 119,36.213752,-5.379245,84,,900
A-7 - Saída 127,36.261057,-5.328956,72,,900
A-7 - Saída 130,36.285275,-5.311915,41,,900
A-7 - Saída 132,36.293233,-5.296447,10,,900
A-7 - Saída 158,36.432463,-5.121397,20,,900
A-7 - Saída 160,36.439617,-5.103036,9,,900
A-7 - Saída 163,36.453221,-5.079694,8,,900
A-7 - Saída 165,36.461387,-5.046225,10,,900
A-7 - Saída 168,36.471046,-5.011515,20,,900
A-7 - Saída 170,36.476336,-4.998403,18,,900
A-7 - Saída 172,36.485121,-4.980976,14,,900
A-7 - Saída 174,36.489061,-4.956879,8,,900
A-7 - Saída 175,36.496527,-4.948642,4,,900
A-7 - Saída 176,36.510127,-4.948157,11,,900
A-7 - Saída 226,36.645375,-4.512971,125,,1000
A-7 - Saída 230,36.677635,-4.525992,24,,1000
A-7 - Saída 235-237,36.751668,-4.492094,148,,1100
A-7 - Saída 242,36.755207,-4.416746,92,,1200
A-7 - Saída 243,36.742248,-4.403913,136,,1200
A-7 - Saída 244,36.738732,-4.394677,120,,1200
A-7 - Saída 245,36.733407,-4.376371,120,,1200
A-7 - Saída 246,36.728685,-4.362948,65,,1200
A-7 - Saída 254,36.724780,-4.274905,51,,1200
A-7 - Saída 256,36.724902,-4.255017,65,,1500
A-7 - Saída 258,36.720060,-4.241318,55,,1500
A-7 - Saída 265,36.745411,-4.179520,101,,1500
A-7 - Saída 272,36.756504,-4.104076,17,,1500
A-7 - Saída 274,36.759913,-4.081811,24,,1500
A-7 - Saída 277,36.759767,-4.051167,46,,1500
A-7 - Saída 285,36.751677,-3.960684,103,,1500
