Local A,Local B,Meio de transporte,Origem,Destino
A-49 - Saída 122,A-49 - Saída 125,Carro,True,Portugal
A-49 - Saída 125,A-49 - Saída 129,Carro,False,Huelva
A-49 - Saída 125,A-49 - Saída 129,Carro,False,Lepe
A-49 - Saída 125,A-49 - Saída 129,Carro,True,Ayamonte
A-49 - Saída 125,A-49 - Saída 129,Carro,True,Portugal
A-49 - Saída 129,A-49 - Saída 131,Carro,False,Ayamonte
A-49 - Saída 129,A-49 - Saída 131,Carro,False,Huelva
A-49 - Saída 129,A-49 - Saída 131,Carro,True,Ayamonte
A-49 - Saída 129,A-49 - Saída 131,Carro,True,Portugal
A-49 - Saída 131,Ponte Internacional do Guadiana,Carro,False,Ayamonte
A-49 - Saída 131,Ponte Internacional do Guadiana,Carro,False,Huelva
A-49 - Saída 131,Ponte Internacional do Guadiana,Carro,True,Portugal
A-66 - Saída 741,A-66 - Saída 745,Carro,False,Mérida
A-66 - Saída 741,A-66 - Saída 745,Carro,False,Monesterio
A-66 - Saída 741,A-66 - Saída 745,Carro,True,Santa Olalla del Cala
A-66 - Saída 741,A-66 - Saída 745,Carro,True,Sevilha
A-66 - Saída 745,A-66 - Saída 747,Carro,False,Mérida
A-66 - Saída 745,A-66 - Saída 747,Carro,False,Monesterio
A-66 - Saída 745,A-66 - Saída 747,Carro,True,El Ronquillo
A-66 - Saída 745,A-66 - Saída 747,Carro,True,Sevilha
A-66 - Saída 747,A-66 - Saída 765,Carro,False,Mérida
A-66 - Saída 747,A-66 - Saída 765,Carro,False,Santa Olalla del Cala
A-66 - Saída 747,A-66 - Saída 765,Carro,True,El Ronquillo
A-66 - Saída 747,A-66 - Saída 765,Carro,True,Sevilha
A-66 - Saída 765,A-66 - Saída 768,Carro,False,Mérida
A-66 - Saída 765,A-66 - Saída 768,Carro,False,Santa Olalla del Cala
A-66 - Saída 765,A-66 - Saída 768,Carro,True,El Ronquillo
A-66 - Saída 765,A-66 - Saída 768,Carro,True,Sevilha
A-66 - Saída 768,A-66 - Saída 771,Carro,False,Mérida
A-66 - Saída 768,A-66 - Saída 771,Carro,False,Santa Olalla del Cala
A-66 - Saída 768,A-66 - Saída 771,Carro,True,Sevilha
A-66 - Saída 771,A-66 - Saída 782,Carro,False,El Ronquillo
A-66 - Saída 771,A-66 - Saída 782,Carro,False,Mérida
A-66 - Saída 771,A-66 - Saída 782,Carro,True,Sevilha
A-66 - Saída 782,A-66 - Saída 790,Carro,False,Mérida
A-66 - Saída 782,A-66 - Saída 790,Carro,False,Portugal
A-66 - Saída 782,A-66 - Saída 790,Carro,True,Sevilha
A-66 - Saída 790,A-66 - Saída 795,Carro,False,Mérida
A-66 - Saída 790,A-66 - Saída 795,Carro,True,Sevilha
A-66 - Saída 795,A-66 - Saída 798,Carro,False,Mérida
A-66 - Saída 795,A-66 - Saída 798,Carro,False,Portugal
A-66 - Saída 795,A-66 - Saída 798,Carro,False,Venta del Alto
A-66 - Saída 795,A-66 - Saída 798,Carro,True,Sevilha
A-66 - Saída 798,A-66 - Saída 805,Carro,False,Mérida
A-66 - Saída 798,A-66 - Saída 805,Carro,False,Portugal
A-66 - Saída 798,A-66 - Saída 805,Carro,False,Venta del Alto
A-66 - Saída 798,A-66 - Saída 805,Carro,True,Sevilha
A-66 - Saída 805,A-66 - Saída 808,Carro,False,Mérida
A-66 - Saída 805,A-66 - Saída 808,Carro,False,Portugal
A-66 - Saída 805,A-66 - Saída 808,Carro,False,Venta del Alto
A-66 - Saída 805,A-66 - Saída 808,Carro,True,Sevilha
A-66 - Saída 808,Cruzamento da A-66 com a SE-30,Carro,False,Mérida
A-66 - Saída 808,Cruzamento da A-66 com a SE-30,Carro,False,Venta del Alto
A-66 - Saída 808,Cruzamento da A-66 com a SE-30,Carro,True,Sevilha
A-8009 - Saída 2,A-8009 - Saída 4,Carro,False,Sevilha
A-8009 - Saída 2,A-8009 - Saída 4,Carro,True,Alcalá del Río
A-8009 - Saída 2,A-8009 - Saída 4,Carro,True,La Rinconada
A-8009 - Saída 2,Cruzamento da A-8009 com a SE-20,Carro,False,Alcalá del Río
A-8009 - Saída 2,Cruzamento da A-8009 com a SE-20,Carro,False,La Rinconada
A-8009 - Saída 2,Cruzamento da A-8009 com a SE-20,Carro,True,Sevilha
A-8009 - Saída 4,A-8009 - Saída 5,Carro,False,Sevilha
A-8009 - Saída 4,A-8009 - Saída 5,Carro,True,La Rinconada
A-8009 - Saída 4,A-8009 - Saída 5,Carro,True,San José de la Rinconada
A-8057 - Saída 0A,A-8058 - Saída 0,Carro,False,Mairena del Aljarafe
A-8057 - Saída 0A,A-8058 - Saída 0,Carro,True,Sevilha
A-8057 - Saída 0A,A-8057 - Saída 2,Carro,False,San Juan de Aznalfarache
A-8057 - Saída 0A,A-8057 - Saída 2,Carro,False,SE-30 - Sevilha
A-8057 - Saída 0A,A-8057 - Saída 2,Carro,True,Mairena del Aljarafe
A-8057 - Saída 2,Mairena del Aljarafe,Carro,False,San Juan de Aznalfarache
A-8057 - Saída 2,Mairena del Aljarafe,Carro,False,SE-30 - Sevilha
A-8057 - Saída 2,Mairena del Aljarafe,Carro,True,Mairena del Aljarafe
A-8058 - Saída 0,SE-30 - Saída 15,Carro,False,Coria del Río
A-8058 - Saída 0,SE-30 - Saída 15,Carro,False,Mairena del Aljarafe
A-8058 - Saída 0,SE-30 - Saída 15,Carro,False,San Juan de Aznalfarache
A-8058 - Saída 0,SE-30 - Saída 15,Carro,True,Sevilha
A-8058 - Saída 0,San Juan de Aznalfarache,Carro,False,A-8057 - Mairena del Aljarafe
A-8058 - Saída 0,San Juan de Aznalfarache,Carro,False,SE-30 - Sevilha
A-8058 - Saída 0,San Juan de Aznalfarache,Carro,True,Coria del Río
A-92 - Andalucía Residencial,A-92 - Sevilha Este,Carro,False,SE-30 - Todas as direcções
A-92 - Andalucía Residencial,A-92 - Sevilha Este,Carro,True,Alcalá de Guadaíra
A-92 - Andalucía Residencial,A-92 - Sevilha Este,Carro,True,Granada
A-92 - Andalucía Residencial,A-92 - Sevilha Este,Carro,True,Málaga
A-92 - Andalucía Residencial,Cruzamento da A-92 com a SE-30,Carro,False,Alcalá de Guadaíra
A-92 - Andalucía Residencial,Cruzamento da A-92 com a SE-30,Carro,False,Granada
A-92 - Andalucía Residencial,Cruzamento da A-92 com a SE-30,Carro,False,Málaga
A-92 - Andalucía Residencial,Cruzamento da A-92 com a SE-30,Carro,True,SE-30 - Todas as direcções
A-92 - Saída 5,A-92 - Torreblanca,Carro,False,Málaga
A-92 - Saída 5,A-92 - Torreblanca,Carro,True,Sevilha
A-92 - Saída 5,Cruzamento da A-92 com a SE-40,Carro,False,Sevilha
A-92 - Saída 5,Cruzamento da A-92 com a SE-40,Carro,True,Málaga
A-92 - Saída 7,A-92 - Saída 9,Carro,False,Sevilha
