Location A,Location B,Means of transport,Distance,Way,Cardinal point,Order A,Order B
A6 - Saída 2,A6 - Saída 3,Car,18.7,A6,E,2,1
A6 - Saída 2,Área de Serviço de Vendas Novas,Car,13.2,A6,SW,1,2
A6 - Saída 3,A6 - Saída 4,Car,5.5,A6,E,2,1
A6 - Saída 4,Área de Serviço de Montemor-o-Novo,Car,10.0,A6,SE,2,1
A6 - Saída 5,A6 - Saída 6,Car,16.0,A6,NE,2,1
A6 - Saída 5,Área de Serviço de Montemor-o-Novo,Car,5.2,A6,NW,1,2
A6 - Saída 6,Área de Serviço de Estremoz,Car,24.5,A6,NE,2,1
A6 - Saída 7,A6 - Saída 8,Car,12.0,A6,E,2,1
A6 - Saída 7,Área de Serviço de Estremoz,Car,5.3,A6,SW,1,2
A6 - Saída 8,A6 - Saída 9,Car,22.8,A6,NE,2,1
A6 - Saída 9,A6 - Saída 10,Car,5.4,A6,NE,2,1
A6 - Saída 10,A6 - Saída 11,Car,2.9,A6,SE,2,1
A6 - Saída 11,A6 - Saída 12,Car,3.4,A6,SE,2,1
A6 - Saída 11,Estação de Elvas,Car,1.6,,SE,3,3
A6 - Saída 12,A6 - Saída 13,Car,5.2,A6,SE,2,1
A6 - Saída 13,A-5 - Saída 407,Car,2.4,A6,E,2,1
A8 - Início,Cruzamento da IC17 CRIL com o IC22,Car,1.3,IC17 CRIL,SW,1,2
A8 - Início,IC17 CRIL - Acesso Norte à Saída 1 da A8,Car,1.5,IC17 CRIL,NE,2,1
A9 CREL - Saída 3,A9 CREL - Saída 4,Car,6.8,A9 CREL,NE,2,1
A9 CREL - Saída 3,Cruzamento da A16 com a A9 CREL,Car,3.1,A9 CREL,SW,1,2
A10 - Saída 5,Cruzamento da A1 com a A10,Car,14.5,A10 - Ponte da Lezíria,NW,2,3
A10 - Saída 5,Cruzamento da A10 com a A13,Car,7.1,A10,SE,1,3
A12 - Cruzamento com a N10-8,Cruzamento da A2 com a A12,Car,2.8,A12,N,1,4
A12 - Cruzamento com a N10-8,"Rotunda dos Golfinhos, Setúbal",Car,2.5,A12,S,2,1
A12 - Saída 2,Cruzamento da A2 com a A12,Car,9.4,A12,S,2,3
A12 - Saída 2,Cruzamento da A12 com a A33,Car,9.6,A12,NW,1,2
A12 - Saída 2,Pinhal Novo,Car,4.5,,SW,3,9
A12 - Saída 4,Área de Serviço de Alcochete,Car,12.7,A12 - Ponte Vasco da Gama,SE,2,1
A12 - Saída 4,Cruzamento da A1 com a A12 e a IC17 CRIL,Car,1.0,A12,NW,1,2
A13 - Saída 2,Área de Serviço de Montijo,Car,5.7,A13,NW,2,1
A13 - Saída 2,Cruzamento da A2 com a A6 e a A13,Car,10.8,A13,S,1,4
A13 - Saída 3,Área de Serviço de Montijo,Car,13.7,A13,SE,1,2
A13 - Saída 3,Cruzamento da A10 com a A13,Car,10.9,A13,NW,2,1
A13 - Saída 5,Cruzamento da A10 com a A13,Car,12.4,A13,SW,1,2
A16 - Saída 2,A16 - Saída 3,Car,1.2,A16,NE,2,1
A16 - Saída 2,Cruzamento da A16 com a A5,Car,0.7,A16,S,1,3
A16 - Saída 3,A16 - Saída 4-5,Car,1.0,A16,NE,2,1
A16 - Saída 4-5,A16 - Saída 6,Car,1.4,A16,NE,2,1
A16 - Saída 6,Cruzamento da A16 com o IC19,Car,4.1,A16,NE,2,1
A20 - Saída 3,Cruzamento da A20 com a A29,Car,1.4,A20,SW,1,2
A20 - Saída 3,Cruzamento da A20 com a A44,Car,4.2,A20,N,2,1
A22 - Início,A22 - Saída 1,Car,3.1,A22,SE,1,1
A22 - Início,Bensafrim,Car,0.8,N120,SE,2,3
A22 - Início,Cruzamento da N120 com a N268,Car,14.2,N120,NW,3,1
A22 - Saída 1,Área de Serviço de Lagos,Car,1.7,A22,NE,2,1
A22 - Saída 1,N125 - Acesso à Saída 1 da A22,Car,4.4,,SE,3,3
A22 - Saída 2,A22 - Saída 3,Car,5.6,A22,NE,2,1
A22 - Saída 2,Área de Serviço de Lagos,Car,1.3,A22,SW,1,2
A22 - Saída 2,N125 - Acesso à Saída 2 da A22,Car,3.3,,SE,3,2
A22 - Saída 3,A22 - Saída 4,Car,6.3,A22,E,2,1
A22 - Saída 3,Autódromo Internacional do Algarve,Car,7.4,,N,4,1
A22 - Saída 3,N125 - Acesso à Saída 3 da A22,Car,1.6,,S,3,2
A22 - Saída 4,A22 - Saída 5,Car,3.5,A22,E,2,1
A22 - Saída 4,Cruzamento da N125 com a M531-1,Car,1.7,,S,3,4
A22 - Saída 5,A22 - Saída 6,Car,7.8,A22,SE,2,1
A22 - Saída 5,Cruzamento da N124 com a N125,Car,2.7,N124,S,3,4
A22 - Saída 5,Cruzamento da N124 com a N266,Car,3.3,N124,N,4,1
A22 - Saída 6,Área de Serviço de Silves,Car,2.2,A22,E,2,1
A22 - Saída 6,Cruzamento da N124-1 com a N125,Car,2.2,N124-1,SW,5,1
A22 - Saída 6,Estação de Silves,Car,3.4,N124-1,N,4,1
A22 - Saída 6,Lagoa,Car,2.2,,S,3,3
A22 - Saída 7,A22 - Saída 8,Car,3.1,A22,E,2,1
A22 - Saída 7,Alcantarilha,Car,1.6,N125,SE,3,3
A22 - Saída 7,Aqualand Algarve,Car,0.8,N125,NW,4,1
A22 - Saída 7,Área de Serviço de Silves,Car,6.9,A22,NW,1,2
A22 - Saída 7,Poço Barreto,Car,5.2,,NW,5,2
A22 - Saída 8,A22 - Saída 9,Car,6.2,A22,E,2,1
A22 - Saída 8,Algoz,Car,4.0,,NE,4,4
A22 - Saída 8,"Pêra, Silves",Car,3.9,A22,SW,3,3
A22 - Saída 9,Cruzamento da A2 com a A22,Car,4.7,A22,NE,2,1
A22 - Saída 9,IC1 - Fim,Car,1.0,IC1,S,3,2
A22 - Saída 9,Tunes,Car,4.3,IC1,N,4,2
A22 - Saída 11,Área de Serviço de Loulé,Car,1.7,A22,SE,2,1
A22 - Saída 11,Boliqueime,Car,4.7,,SW,3,3
A22 - Saída 11,Cruzamento da A2 com a A22,Car,8.4,A22,W,1,2
A22 - Saída 11,Paderne,Car,9.7,,NW,5,1
A22 - Saída 11,Santuário de Nossa Senhora da Piedade,Car,9.5,,E,4,2
A22 - Saída 12,A22 - Saída 13,Car,5.3,A22,SE,2,1
A22 - Saída 12,Área de Serviço de Loulé,Car,6.7,A22,NW,1,2
A22 - Saída 12,Cruzamento da N125 com a N396,Car,2.7,,S,4,1
A22 - Saída 12,Loulé,Car,3.4,,NE,3,5
A22 - Saída 13,A22 - Saída 14,Car,7.0,A22,E,2,1
A22 - Saída 13,Cruzamento do IC4 com a N125,Car,3.0,IC4,SE,3,2
A22 - Saída 13,Estádio Algarve,Car,2.9,,SE,5,3
A22 - Saída 13,Mar Shopping Algarve,Car,1.9,N125-4,NW,4,1
A22 - Saída 14,A22 - Saída 15,Car,11.6,A22,E,2,1
A22 - Saída 14,"Conceição, Faro",Car,4.4,N2,S,4,1
A22 - Saída 14,Ruínas Romanas de Milreu,Car,2.0,N2,E,3,2
A22 - Saída 15,Área de Serviço de Olhão,Car,3.6,A22,NE,2,1
A22 - Saída 15,Cruzamento da N125 com a N398,Car,7.9,,S,4,3
A22 - Saída 15,Moncarapacho,Car,3.5,,S,3,1
A22 - Saída 15,Santa Catarina da Fonte do Bispo,Car,5.7,,N,5,2
A22 - Saída 16,A22 - Saída 17,Car,19.8,A22,NE,2,1
A22 - Saída 16,Área de Serviço de Olhão,Car,7.2,A22,SW,1,2
A22 - Saída 16,Cascata do Pego do Inferno,Car,3.5,,N,5,1
A22 - Saída 16,Santa Catarina da Fonte do Bispo,Car,9.4,,NW,4,3
A22 - Saída 16,Santo Estêvão,Car,3.6,,SW,6,1
A22 - Saída 16,Tavira - Sul,Car,5.0,,SE,3,4
A22 - Saída 17,A22 - Saída 18,Car,6.0,A22,NE,2,1
A22 - Saída 17,Altura,Car,2.4,,S,3,1
A22 - Saída 18,Área de Repouso de Castro Marim,Car,1.1,A22,NE,2,1
A22 - Saída 18,Castro Marim,Car,1.7,N122,S,4,1
A22 - Saída 18,IC27 - Início,Car,0.5,N122,N,3,2
A23 - Saída 1,A23 - Saída 2,Car,8.2,A23,E,2,1
A23 - Saída 1,Cruzamento da A1 com a A23,Car,0.9,A23,SW,1,3
A23 - Saída 2,A23 - Saída 3,Car,3.9,A23,E,2,1
A23 - Saída 2,Estação de Riachos-Torres Novas-Golegã,Car,5.0,,SE,3,3
A23 - Saída 3,Cruzamento da A13 com a A23,Car,4.1,A23,NE,2,1
A23 - Saída 5,A23 - Saída 6,Car,3.3,A23,E,2,1
A23 - Saída 5,Cruzamento da A13 com a A23,Car,5.1,A23,W,1,2
A23 - Saída 6,A23 - Saída 7,Car,2.4,A23,E,2,1
A23 - Saída 7,A23 - Saída 8,Car,4.5,A23,E,2,1
A23 - Saída 8,A23 - Saída 9,Car,4.4,A23,E,2,1
A23 - Saída 9,A23 - Saída 10,Car,4.7,A23,E,2,1
A23 - Saída 10,Área de Serviço de Abrantes,Car,2.0,A23,E,2,1
A23 - Saída 11,A23 - Saída 12,Car,8.3,A23,E,2,1
A23 - Saída 11,Área de Serviço de Abrantes,Car,5.4,A23,W,1,2
A23 - Saída 11,Estação de Mouriscas-A,Car,3.7,,SE,3,3
A23 - Saída 12,A23 - Saída 13,Car,6.1,A23,E,2,1
A23 - Saída 13,A23 - Saída 14,Car,8.3,A23,E,2,1
A23 - Saída 14,A23 - Saída 15,Car,5.6,A23,E,2,1
A23 - Saída 15,Área de Serviço de Vila Velha de Ródão,Car,2.3,A23,NE,2,1
A23 - Saída 16,A23 - Saída 17,Car,4.5,A23,N,2,1
A23 - Saída 16,Área de Serviço de Vila Velha de Ródão,Car,2.5,A23,SW,1,2
A23 - Saída 17,A23 - Saída 18,Car,5.5,A23,N,2,1
A23 - Saída 18,A23 - Saída 19,Car,4.8,A23,NE,2,1
A23 - Saída 19,A23 - Saída 20,Car,11.4,A23,NE,2,1
A23 - Saída 20,A23 - Saída 21,Car,4.3,A23,NE,2,1
A23 - Saída 21,A23 - Saída 22,Car,5.4,A23,NE,2,1
A23 - Saída 22,A23 - Saída 23,Car,4.0,A23,NE,2,1
A23 - Saída 23,Área de Serviço de Castelo Branco,Car,4.2,A23,N,2,1
A23 - Saída 24,A23 - Saída 25,Car,8.2,A23,N,2,1
A23 - Saída 24,Área de Serviço de Castelo Branco,Car,3.5,A23,S,1,2
A23 - Saída 25,A23 - Saída 26,Car,4.7,A23,N,2,1
A23 - Saída 26,A23 - Saída 27,Car,5.6,A23,N,2,1
A23 - Saída 26,Estação de Soalheira,Car,1.1,,E,3,3
A23 - Saída 27,A23 - Saída 28,Car,7.9,A23,N,2,1
A23 - Saída 28,A23 - Saída 29,Car,4.3,A23,N,2,1
A23 - Saída 28,Estação de Donas,Car,1.3,,SE,3,3
A23 - Saída 29,Área de Serviço do Fundão,Car,2.1,A23,N,2,1
A23 - Saída 30,A23 - Saída 31,Car,5.9,A23,NE,2,1
A23 - Saída 30,Área de Serviço do Fundão,Car,4.4,A23,S,1,2
A23 - Saída 31,A23 - Saída 32,Car,9.2,A23,NE,2,1
A23 - Saída 32,A23 - Saída 33,Car,8.9,A23,NE,2,1
A23 - Saída 33,A23 - Saída 34,Car,8.9,A23,NE,2,1
A23 - Saída 34,A23 - Saída 35,Car,9.6,A23,NE,2,1
A23 - Saída 35,Área de Serviço da Guarda,Car,2.4,A23,N,2,1
A25 - Início,A25 - Saída 1,Car,1.6,A25,E,1,1
A25 - Saída 1,A25 - Saída 1A,Car,1.2,A25,E,2,1
A25 - Saída 1A,Área de Serviço de Gafanha da Nazaré,Car,1.6,A25,E,2,1
A25 - Saída 2,A25 - Saída 3,Car,2.7,A25,E,2,1
A25 - Saída 2,Área de Serviço de Gafanha da Nazaré,Car,1.2,A25,W,1,2
A25 - Saída 3,A25 - Saída 3A,Car,2.2,A25,NE,2,1
A25 - Saída 3A,A25 - Saída 4,Car,2.2,A25,E,2,1
A25 - Saída 4,Cruzamento da A17 com a A25,Car,2.5,A25,E,2,1
A25 - Saída 4,Estação de Esgueira,Car,1.3,,SE,3,3
A25 - Saída 5A,Área de Serviço de Aveiro,Car,1.7,A25,N,2,1
A25 - Saída 5A,Cruzamento da A17 com a A25,Car,0.6,A25,SW,1,2
A25 - Saída 5A,Estação de Azurva,Car,3.0,,SE,3,3
A25 - Saída 6,Área de Serviço de Aveiro,Car,4.6,A25,SW,1,2
A25 - Saída 6,Cruzamento da A25 com a A29,Car,1.6,A25,E,2,1
A25 - Saída 8,A25 - Saída 9,Car,3.3,A25,E,2,1
A25 - Saída 8,Cruzamento da A1 com a A25,Car,4.4,A25,W,1,4
A25 - Saída 9,A25 - Saída 10,Car,10.9,A25,E,2,1
A25 - Saída 9,Estação de Sernada do Vouga,Car,2.2,,SW,3,3
A25 - Saída 10,A25 - Saída 11,Car,6.9,A25,E,2,1
A25 - Saída 11,Área de Serviço de Vouzela,Car,3.3,A25,E,2,1
A25 - Saída 12,A25 - Saída 13,Car,5.3,A25,E,2,1
A25 - Saída 12,Área de Serviço de Vouzela,Car,2.7,A25,W,1,2
A25 - Saída 13,A25 - Saída 14,Car,1.7,A25,NE,2,1
A25 - Saída 14,A25 - Saída 15,Car,6.5,A25,E,2,1
A25 - Saída 15,A25 - Saída 16,Car,5.2,A25,S,2,1
A25 - Saída 16,A25 - Saída 16A,Car,0.8,A25,SE,2,1
A25 - Saída 16A,Cruzamento da A24 com a A25 e o IP3,Car,9.4,A25,E,2,1
A25 - Saída 18,A25 - Saída 19,Car,5.9,A25,NE,2,1
A25 - Saída 18,Área de Serviço de Viseu,Car,1.2,A25,W,1,2
A25 - Saída 19,A25 - Saída 20,Car,2.6,A25,SE,2,1
A25 - Saída 20,A25 - Saída 21,Car,4.7,A25,E,2,1
A25 - Saída 21,Área de Serviço de Mangualde,Car,1.8,A25,E,2,1
A25 - Saída 22,A25 - Saída 23,Car,12.3,A25,E,2,1
A25 - Saída 22,Área de Serviço de Mangualde,Car,2.0,A25,W,1,2
A25 - Saída 23,A25 - Saída 24,Car,8.1,A25,E,2,1
A25 - Saída 24,A25 - Saída 25,Car,12.0,A25,E,2,1
A25 - Saída 24,Estação de Fornos de Algodres,Car,2.6,,NE,3,4
A25 - Saída 25,A25 - Saída 26,Car,1.3,A25,E,2,1
A25 - Saída 26,Área de Serviço de Celorico da Beira,Car,4.0,A25,E,2,1
A25 - Saída 27,A25 - Saída 28,Car,2.3,A25,E,2,1
A25 - Saída 27,Área de Serviço de Celorico da Beira,Car,0.9,A25,SW,1,2
A25 - Saída 28,A25 - Saída 28A,Car,0.7,A25,E,2,1
A25 - Saída 28A,A25 - Saída 29,Car,13.9,A25,SE,2,1
A25 - Saída 29,Cruzamento da A23 com a A25,Car,2.6,A25,E,2,1
A25 - Saída 29,São Miguel da Guarda,Car,1.2,,S,3,1
A25 - Saída 31,A25 - Saída 32,Car,7.4,A25,E,2,1
A25 - Saída 31,Cruzamento da A23 com a A25,Car,13.9,A25,W,1,2
A25 - Saída 32,Área de Serviço do Alto de Leomil,Car,2.6,A25,E,2,1
A25 - Saída 33,A-62 - Saída 355,Car,2.1,A25,E,2,1
A25 - Saída 33,Área de Serviço do Alto de Leomil,Car,9.6,A25,W,1,2
A25 - Saída 33,Vilar Formoso,Car,1.6,IP5,SE,3,1
A26 - Fim,Cruzamento da A2 com a A26,Car,12.8,A26,NW,1,3
A26 - Fim,Ferreira do Alentejo,Car,16.1,IP8,SE,2,3
A26 - Saída 2,A26 - Saída 3,Car,5.3,A26,NE,2,1
A26 - Saída 2,A26-1 - Saída 1,Car,3.9,,NW,4,3
A26 - Saída 2,Cruzamento da A26 com a A26-1,Car,2.2,A26,SW,1,1
A26 - Saída 2,Refinaria de Sines,Car,1.6,,S,3,1
A26 - Saída 3,A26 - Saída 4,Car,0.9,A26,NE,2,1
A26 - Saída 3,A26-1 - Saída 2,Car,7.4,,NW,3,3
A26 - Saída 4,IP8 - Cruzamento com a N261,Car,5.2,IP8,N,2,1
A26 - Saída 4,Santiago do Cacém,Car,5.4,,NE,3,1
A26-1 - Saída 1,A26-1 - Saída 2,Car,6.2,A26-1,NE,2,1
A26-1 - Saída 1,Cruzamento da A26 com a A26-1,Car,2.3,A26-1,S,1,2
A26-1 - Saída 2,A26-1 - Saída 3,Car,2.0,A26-1,NE,2,1
A26-1 - Saída 3,Vila Nova de Santo André,Car,1.0,A26-1,N,2,1
A-1 - Saída 11,Cruzamento da A-1 com a M-11 e a M-30,Car,2.3,A-1,SW,1,3
A-1 - Saída 11,Cruzamento da A-1 com a M-40,Car,0.9,A-1,N,2,3
A-1 - Saída 14,A-1 - Saída 15,Car,0.8,A-1,NE,2,1
A-1 - Saída 14,Cruzamento da A-1 com a M-40,Car,1.3,A-1,SW,1,4
A-1 - Saída 15,A-1 - Saída 16,Car,1.0,A-1,NE,2,1
A-1 - Saída 16,Cruzamento da A-1 com a M-12,Car,1.9,A-1,E,2,1
A-1 - Saída 19,A-1 - Saída 20,Car,1.0,A-1,N,2,1
A-1 - Saída 19,Cruzamento da A-1 com a M-12,Car,1.3,A-1,SW,1,2
A-1 - Saída 20,Cruzamento da A-1 com a M-50,Car,1.9,A-1,NE,2,1
A-1 - Saída 23,A-1 - Saída 24,Car,1.8,A-1,N,2,1
A-1 - Saída 23,Cruzamento da A-1 com a M-50,Car,1.5,A-1,SW,1,2
